ATT001,ATT002,ATT003,ATT005,ATT01,ATT02,ATT03,ATT05,ATT_1,ATT_2,ATT_3,ATT_5,ATT1,ATT2,ATT3,ATT5,ATT10,ATT20,ATT30,ATT50,,R_LATITUDE,R_LONGITUD,R_RAINHEIGHT,R_ALTITUDE,R_RAINHEIGHT2,R_HEIGHT,R_ANT_BEAM,ANTEN_DIAM,FIG_MERIT,XPD_0,OFF_AXIS,RELAT_LEV,RANGE_REC,INT_TIME,EXP_NO,DURATION,FREQUENCY,POLAR,ELEVATION,T_MED,DATA_SAMP,CALIB_INT,DAT_RES,RAIN_RES,FLAG1,FLAG2,FLAG3,FLAG4,RAIN_TIME,RR_001,RR_002,RR_003,RR_005,RR_01,RR_02,RR_03,RR_05,RR_1,RR_2,RR_3,RR_5,RR1,RR2,RR3,RR5,RR10,RR20,RR30,RR50,A_001,A_002,A_003,A_005,A_01,A_02,A_03,A_05,A_1,A_2,A_3,A_5,A1,A2,A3,A5,A10,A20,A30,A50,FLAG5
5.752161889,4.659739715,4.118200155,3.080703532,2.080623532,1.429787998,1.149484735,0.789071986,0.474280453,0.283889261,0.21201729,0.140101761,0.079240047,0,0,0,0,0,0,0,,38.5,283,4.014,200,3.814,0,0,0,0,0,0,0,0,0,3,365,11.7,45,29,0,0,0,0,0,0.00,1.00,0.00,1.00,0,120,100.1,90,70.1,50,36.2,30,21.7,14,9,7,4.9,3,0,0,0,0,0,0,0,29.4,27.2,26,20,14,8.1,5.9,3.5,1.7,1.3,1.1,0.9,0.6,0,0,0,0,0,0,0,SE
5.975471829,4.871275271,4.33155549,3.471962746,2.571385285,1.605561176,1.238968343,0.865597494,0.513853433,0.283889261,0.21201729,0.163608036,0.110679802,0,0,0,0,0,0,0,,38.5,283,4.014,200,3.814,0,0,0,0,0,0,0,0,0,4,1095,11.7,45,29,0,0,0,0,0,0.00,0.00,0.00,0.00,0,124,104,94,77.7,60,40,32,23.5,15,9,7,5.6,4,0,0,0,0,0,0,0,27.8,23.3,21,16.5,11.9,6.9,5,3.2,1.8,1.3,1.1,0.8,0.5,0,0,0,0,0,0,0,ME
0,0,0,0,11.43790658,7.679940588,6.075637638,4.167553127,2.502099992,1.634946995,1.269738602,0.753216123,0.364335619,0,0,0,0,0,0,0,,37.8,284.5,3.8072,0,3.8072,0,0,0,0,0,0,0,0,0,1,365,28.6,55,41.6,0,0,0,0,0,0.10,1.00,0.10,1.00,0,0,0,0,0,70.6,46.2,36,24.1,14,8.9,6.8,3.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8.2,6.3,4,2.2,0,0,0,0,0,0,0,0E
0,0,0,0,10.60258977,7.708491706,6.40248991,4.934259831,3.469871898,2.235287289,1.723049954,1.200669218,0.735677411,0,0,0,0,0,0,0,,37.8,284.5,3.8072,0,3.8072,0,0,0,0,0,0,0,0,0,2,365,28.6,55,44.5,0,0,0,0,0,0.10,1.00,0.10,1.00,0,0,0,0,0,65,46.3,38,28.8,19.8,12.4,9.4,6.4,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,9.8,7.5,5,2.9,0,0,0,0,0,0,0,0E
0,0,0,0,9.479734662,6.829060733,5.639517819,4.027018,2.555711814,1.550232192,1.165378649,0.790126258,0.477701898,0,0,0,0,0,0,0,,37.8,284.5,3.8072,0,3.8072,0,0,0,0,0,0,0,0,0,3,360,28.6,55,44.5,0,0,0,0,0,0.10,1.00,0.10,1.00,0,0,0,0,0,57.7,40.7,33.2,23.2,14.3,8.4,6.2,4.1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,10.8,8.1,5.5,3.3,0,0,0,0,0,0,0,0E
4.980256312,4.27273377,3.906371765,3.106241871,2.275187289,1.722699232,1.466555491,0.767992811,0.320847726,0.163608036,0.110679802,0.055269362,0.022117726,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,1,334,11.7,45,33,0,0,0,0,0,0.03,1.00,0.00,0.30,0,106,92.9,86,70.6,54,42.5,37,21.2,10,5.6,4,2.2,1,0,0,0,0,0,0,0,24,20.7,19,16.2,13,9.6,8,6,4,3.3,3,2,1.1,0,0,0,0,0,0,0,SE
4.600313993,3.864194456,3.487538592,2.245849693,1.238968343,0.730253418,0.533802207,0.362196506,0.21201729,0.046615365,0.019569984,0.007629743,0.001524692,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,2,365,11.7,45,33,0,0,0,0,0,0.00,0.10,0.00,1.00,0,99,85.2,78,53.4,32,20.3,15.5,11.1,7,1.9,0.9,0.4,0.1,0,0,0,0,0,0,0,13,11.7,11,8.5,6,5.2,4.8,4.3,3.7,3.1,2.8,2.4,2,0,0,0,0,0,0,0,SE
6.031482889,4.708439348,3.95918255,3.142044624,2.129036507,1.416033844,1.017075532,0.730253418,0.396526863,0.233268976,0.143428356,0.088516605,0.024707028,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,3,1095,11.7,45,33,0,0,0,0,0,0.00,0.00,0.00,0.00,0,125,101,87,71.3,51,35.9,27,20.3,12,7.6,5,3.3,1.1,0,0,0,0,0,0,0,23.1,18.3,16,13.3,10.3,7.6,6.3,5,3.7,3,2.7,1.5,0.7,0,0,0,0,0,0,0,ME
4.584170095,3.146651204,2.528104328,1.935162036,1.34919729,0.793828641,0.581690948,0,0,0,0,0,0,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,4,365,11.6,45,10.7,0,0,0,0,0,0.01,0.03,0.01,1.00,0,100,72.4,60,47.7,35,22.2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20.7,20,18.2,16,11.9,10,8.1,6,4.6,4,0,0,0,0,0,0,0,0,0,SE
4.584170095,3.892382235,3.534722656,2.661132501,1.80815077,1.175707479,0.911650627,0.577706408,0.313477887,0,0,0,0,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,5,366,11.6,45,10.7,0,0,0,0,0,0.00,0.10,0.01,0.30,0,100,86.9,80,62.7,45,31.1,25,16.9,10,0,0,0,0,0,0,0,0,0,0,0,24,21.4,20,18.2,16,12.6,11,8.5,6,4.6,4,0,0,0,0,0,0,0,0,0,SE
4.318247449,3.803812562,3.534722656,2.935016693,2.284384923,1.277614196,0.911650627,0.911650627,0.911650627,0,0,0,0,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,6,365,11.6,45,10.7,0,0,0,0,0,0.00,0.00,0.01,0.10,0,95,85.2,80,68.2,55,33.4,25,25,25,0,0,0,0,0,0,0,0,0,0,0,24,22.7,22,20.7,19,15,13,10,7,0,0,0,0,0,0,0,0,0,0,0,SE
4.691161524,3.793411653,3.380775327,2.626551194,1.855049273,1.040327503,0.744063034,0.467794603,0.241713847,0.117267573,0.077094791,0,0,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,7,1096,11.6,45,10.7,0,0,0,0,0,0.00,0.00,0.00,0.00,0,102,85,77,62,46,28,21,14.1,8,4.3,3,0,0,0,0,0,0,0,0,0,23.2,22,21.3,19.3,16.9,13.6,12,9.3,6.5,4.6,3.8,0,0,0,0,0,0,0,0,0,ME
9.812391859,6.951328247,5.678853026,4.622147172,3.495904999,2.229265167,1.717830383,1.237721731,0.798603066,0,0,0,0,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,8,334,19,52.5,46,0,0,0,0,0,0.01,0.10,0.00,0.00,0,104,74.3,61,49.9,38,24.5,19,13.8,9,0,0,0,0,0,0,0,0,0,0,0,26,24.1,23,18.6,14,12,11,7.9,5,0,0,0,0,0,0,0,0,0,0,0,0E
0,0,5.859509224,4.700708809,3.492891709,2.183726822,1.657210075,1.164576284,0.71606451,0.522537177,0.440287502,0,0,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,9,334,19,37.2,46,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,61,49.3,37,23.5,18,12.8,8,5.9,5,0,0,0,0,0,0,0,0,0,0,0,26,21.2,16,13.3,12,10.1,8,5.9,5,0,0,0,0,0,0,0,0,0,TE
9.806106038,7.878294359,6.918524864,5.466028953,3.966229348,2.461722447,1.902725039,1.264930729,0.707631252,0.437122115,0.294401355,0.197224355,0.083989066,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,10,974,19,52.5,45,0,0,0,0,0,0.00,0.00,0.00,0.00,0,104,84,74,58.8,43,27,21,14.1,8,5,3.4,2.3,1,0,0,0,0,0,0,0,0,0,23.8,20.6,16.8,12.1,10,7.5,5.1,3.9,3.4,2.7,2,0,0,0,0,0,0,0,ME
10.18390262,8.164302455,7.160576603,5.644226007,4.082690607,2.522200726,1.944560002,1.287585364,0.716219978,0.440345838,0.295426996,0.197136706,0.083252987,0,0,0,0,0,0,0,,37.2,279.5,4.2649,640,3.6249,0,0,0,0,0,0,0,0,0,11,974,19,37.2,45,0,0,0,0,0,0.00,0.00,0.00,0.00,0,104,84,74,58.8,43,27,21,14.1,8,5,3.4,2.3,1,0,0,0,0,0,0,0,30,27.4,26,22.7,18.9,13.4,11,8.5,6.1,5.3,5,4.1,3.1,0,0,0,0,0,0,0,TE
